"LoincNumber","ConsumerName"
"1949-7","Beta lipotropin, Blood"
"43899-4","Beta lipotropin, Blood"
"47398-3","Beta mannosidase actual/normal, White blood cells"
"24066-3","Beta mannosidase, Blood"
"24067-1","Beta mannosidase, Fibroblast"
"24068-9","Beta mannosidase, White blood cells"
"1950-5","Beta melanocyte stimulating hormone, Blood"
"24069-7","Beta N-acetylhexosaminidase.B/Beta N-acetyl Hexosaminidase.total, Blood"
"74907-7","Beta sitosterol, Blood"
"75741-9","Beta sitosterol, Blood"
"14233-1","Beta tubulin IgG antibody, Blood"
"31257-9","Beta tubulin IgG antibody, Blood"
"82737-8","Beta tubulin IgG antibody, Blood"
"13110-2","Beta tubulin IgM antibody, Blood"
"14234-9","Beta tubulin IgM antibody, Blood"
"31258-7","Beta tubulin IgM antibody, Blood"
"44739-1","Beta tubulin IgM antibody, Blood"
"66499-5","Beta VLDL Cholesterol, Blood"
"11038-7","Beta+gamma tocopherol, Blood"
"57837-7","Beta-1 transferrin, Body fluid"
"77347-3","Beta-2 transferrin panel, S/P+CSF"
"43867-1","Beta-2 transferrin, Blood"
"13876-8","Beta-2 transferrin, Body fluid"
"51831-6","Beta-2 transferrin, Body fluid"
"43858-0","Beta-2 transferrin, Specimen"
"40610-8","Beta-2 transferrin, Spinal fluid"
"53559-1","Beta-2 transferrin, Spinal fluid"
"87708-4","Beta-2-Microglobulin after Dialysis, Blood"
"10467-9","Beta-2-Microglobulin amyloid antigen, Tissue"
"54355-3","Beta-2-Microglobulin in CSF/Beta-2-Microglobulin in Serum, Serum+Cerebrospinal fluid"
"14626-6","Beta-2-Microglobulin, Blood"
"1952-1","Beta-2-Microglobulin, Blood"
"43818-4","Beta-2-Microglobulin, Blood"
"76484-5","Beta-2-Microglobulin, Blood"
"83076-0","Beta-2-Microglobulin, Blood"
"83078-6","Beta-2-Microglobulin, Blood"
"39458-5","Beta-2-Microglobulin, Body fluid"
"48166-3","Beta-2-Microglobulin, Body fluid"
"49081-3","Beta-2-Microglobulin, Dialysis fluid"
"88711-7","Beta-2-Microglobulin, Peritoneal dialysis fluid"
"59217-0","Beta-2-Microglobulin, Peritoneal fluid"
"59218-8","Beta-2-Microglobulin, Pleural fluid"
"1951-3","Beta-2-Microglobulin, Spinal fluid"
"32301-4","Beta-2-Microglobulin, Spinal fluid"
"43919-0","Beta-2-Microglobulin, Spinal fluid"
"10873-8","Beta-2-Microglobulin, Urine"
"1953-9","Beta-2-Microglobulin, Urine"
"32302-2","Beta-2-Microglobulin, Urine"
"43819-2","Beta-2-Microglobulin, Urine"
"50824-2","Beta-2-Microglobulin, Urine"
"54356-1","Beta-2-Microglobulin, Urine"
"56662-0","Beta-2-Microglobulin, Urine"
"83077-8","Beta-2-Microglobulin, Urine"
"83079-4","Beta-2-Microglobulin, Urine"
"56786-7","Beta-2-Microglobulin.tumor marker, Blood"
"13485-8","Beta-2-Microglobulin/Creatinine, Urine"
"39773-7","Beta-2-Microglobulin/Creatinine, Urine"
"44303-6","Beta-2-Microglobulin/Creatinine, Urine"
"59177-6","Beta-2-Microglobulin/Creatinine, Urine"
"93729-2","Beta-2-Microglobulin/Creatinine, Urine"
"80638-0","Beta-amanitin, Urine"
"85841-5","Beta-lactam resistance ampC blaACC gene"
"85842-3","Beta-lactam resistance ampC blaACT+blaMIR genes"
"85822-5","Beta-lactam resistance ampC blaCMY+blaMOX genes"
"93699-7","Beta-lactam resistance ampC blaCMY-2 gene"
"93700-3","Beta-lactam resistance ampC blaDHA gene"
"85843-1","Beta-lactam resistance ampC blaFOX gene"
"85831-6","Beta-lactam Resistance ESBL blaBEL gene"
"85832-4","Beta-lactam Resistance ESBL blaCTX-M-1 Group gene"
"98064-9","Beta-lactam resistance ESBL blaCTX-M-14 gene"
"98063-1","Beta-lactam resistance ESBL blaCTX-M-15 gene"
"85844-9","Beta-lactam Resistance ESBL blaCTX-M-2 Group gene"
"85835-7","Beta-lactam Resistance ESBL blaCTX-M-8+blaCTX-M-25 Group genes"
"85834-0","Beta-lactam Resistance ESBL blaCTX-M-9 Group gene"
"85836-5","Beta-lactam Resistance ESBL blaGES gene"
"85837-3","Beta-lactam Resistance ESBL blaPER gene"
"85838-1","Beta-lactam Resistance ESBL blaSHV gene"
"85839-9","Beta-lactam Resistance ESBL blaTEM gene"
"85840-7","Beta-lactam Resistance ESBL blaVEB gene"
"41745-1","Betamethasone, Blood"
"46946-0","Betamethasone, Urine"
"21328-0","Beta-N-acetylhexosaminidase A and B, Blood"
"29542-8","Beta-N-acetylhexosaminidase, Amniotic fluid cells"
"1954-7","Beta-N-acetylhexosaminidase, Blood"
"79458-6","Beta-N-acetylhexosaminidase, Dried blood spot"
"24074-7","Beta-N-acetylhexosaminidase, Fibroblast"
"18344-2","Beta-N-acetylhexosaminidase, Platelets"
"1955-4","Beta-N-acetylhexosaminidase, Tissue"
"12913-0","Beta-N-acetylhexosaminidase, White blood cells"
"24075-4","Beta-N-acetylhexosaminidase, White blood cells"
"33655-2","Beta-N-acetylhexosaminidase, White blood cells"
"25832-7","Beta-N-acetylhexosaminidase.A Activator, Fibroblast"
"87545-0","Beta-N-acetylhexosaminidase.A and Beta-N-acetylhexosaminidase Panel, Blood"
"87544-3","Beta-N-acetylhexosaminidase.A and Beta-N-acetylhexosaminidase Panel, White blood cells"
"87543-5","Beta-N-acetylhexosaminidase.A and Beta-N-acetylhexosaminidase With Reflex to HEXA gene Panel, White blood cells"
"1956-2","Beta-N-acetylhexosaminidase.A, Blood"
"80425-2","Beta-N-acetylhexosaminidase.A, Dried blood spot"
"25831-9","Beta-N-acetylhexosaminidase.A, Fibroblast"
"18196-6","Beta-N-acetylhexosaminidase.A, Tissue"
"16457-4","Beta-N-acetylhexosaminidase.A, White blood cells"
"33657-8","Beta-N-acetylhexosaminidase.A, White blood cells"
"50759-0","Beta-N-acetylhexosaminidase.A, White blood cells"
"29543-6","Beta-N-acetylhexosaminidase.A/Beta-n-acetylhexosaminidase.total, Amniotic fluid cells"
"12914-8","Beta-N-acetylhexosaminidase.A/Beta-n-acetylhexosaminidase.total, Blood"
"23824-6","Beta-N-acetylhexosaminidase.A/Beta-n-acetylhexosaminidase.total, Blood"
"23825-3","Beta-N-acetylhexosaminidase.A/Beta-n-acetylhexosaminidase.total, White blood cells"
"1957-0","Beta-N-acetylhexosaminidase.B, Blood"
"24072-1","Beta-N-acetylhexosaminidase.B, Fibroblast"
"24073-9","Beta-N-acetylhexosaminidase.B, White blood cells"
"33656-0","Beta-N-acetylhexosaminidase.B, White blood cells"
"21110-2","Beta-N-acetylhexosaminidase.B/Beta-n-acetylhexosaminidase.total, Blood"
"21111-0","Beta-N-acetylhexosaminidase.B/Beta-n-acetylhexosaminidase.total, Blood"
"24070-5","Beta-N-acetylhexosaminidase.B/Beta-n-acetylhexosaminidase.total, Fibroblast"
"24071-3","Beta-N-acetylhexosaminidase.B/Beta-n-acetylhexosaminidase.total, White blood cells"
"1958-8","Beta-N-acetylhexosaminidase.I, Blood"
"38720-9","Beta-propiolactone, Air"
"48499-8","Beta-trace protein, Blood"
"57733-8","Beta-trace protein, Body fluid"
"72660-4","Beta-trace protein, Ear Fluid"
"60224-3","Beta-trace protein, Nasal Fluid"
"48493-1","Beta-trace protein, Spinal fluid"
"79582-3","Beta-ureidoisobutyrate, Blood"
"79647-4","Beta-ureidoisobutyrate/Creatinine, Urine"
"81199-2","Beta-ureidopropionase, Liver"
"16458-2","Bethanechol, Blood"
"57902-9","Bg sup(a) antibody, Blood"
"57903-7","Bg sup(a) antibody, Blood"
"57904-5","Bg sup(a) antigen, Red blood cells"
"85485-1","Bg sup(b) antigen, Red blood cells"
"85486-9","Bg sup(c) antigen, Red blood cells"
"44701-1","BHD gene variant analysis, Blood or tissue specimen"
"94001-5","Bicarbonate 1 hr after vasopressin, Blood"
"94010-6","Bicarbonate 2 hr after vasopressin, Blood"
"48631-6","Bicarbonate after Dialysis, Blood"
"54359-5","Bicarbonate after Dialysis, Blood"
"95271-3","Bicarbonate after secretin, Body fluid"
"86920-6","Bicarbonate goal"
"95363-8","Bicarbonate post secretin stimulation panel, Body fluid"
"39460-1","Bicarbonate Standard, Arterial cord blood"
"19230-2","Bicarbonate Standard, Blood"
"19231-0","Bicarbonate Standard, Blood"
"19232-8","Bicarbonate Standard, Blood"
"19233-6","Bicarbonate Standard, Blood"
"69964-5","Bicarbonate Standard, Blood"
"97544-1","Bicarbonate Standard, Blood"
"39459-3","Bicarbonate Standard, Venous cord blood"
"16462-4","Bicarbonate, Amniotic fluid"
"28640-1","Bicarbonate, Arterial cord blood"
"14627-4","Bicarbonate, Blood"
"19229-4","Bicarbonate, Blood"
"1959-6","Bicarbonate, Blood"
"1960-4","Bicarbonate, Blood"
"1961-2","Bicarbonate, Blood"
"1962-0","Bicarbonate, Blood"
"1963-8","Bicarbonate, Blood"
"97543-3","Bicarbonate, Blood"
"16459-0","Bicarbonate, Body fluid"
"14151-5","Bicarbonate, Cord blood"
"12514-6","Bicarbonate, Dialysis fluid"
"53086-5","Bicarbonate, Nonbiological fluid"
"54360-3","Bicarbonate, Peritoneal fluid"
"54361-1","Bicarbonate, Pleural fluid"
"16461-6","Bicarbonate, Red blood cells"
"22735-5","Bicarbonate, Specimen"
"16460-8","Bicarbonate, Spinal fluid"
"1964-6","Bicarbonate, Urine"
"47579-8","Bicarbonate, Urine"
"47580-6","Bicarbonate, Urine"
"80613-3","Bicarbonate, Urine"
"28641-9","Bicarbonate, Venous cord blood"
"12513-8","Bicarbonate, Water"
"20696-1","Bifidobacterium sp count, Milk"
"27931-5","Bile acid 2 hr after Meal, Blood"
"35562-8","Bile acid after Fast, Blood"
"73724-7","Bile acid dihydroxy and Trihydroxy panel, Blood"
"43130-4","Bile acid fractions panel, Blood"
"73725-4","Bile acid panel, Stool"
"93338-2","Bile acid panel, Stool"
"33473-0","Bile acid pattern, Urine"
"43888-7","Bile acid, Bile"
"14628-2","Bile acid, Blood"
"1967-9","Bile acid, Blood"
"43877-0","Bile acid, Blood"
"34640-3","Bile acid, Body fluid"
"50825-9","Bile acid, Body fluid"
"16464-0","Bile acid, Exhaled gas"
"1966-1","Bile acid, Exhaled gas"
"72491-4","Bile acid, Stool"
"72679-4","Bile acid, Stool"
"74515-8","Bile acid, Stool"
"93336-6","Bile acid, Stool"
"16465-7","Bile acid, Urine"
"43889-5","Bile acid, Urine"
"73722-1","Bile acid, Urine"
"16463-2","Bile acid.dihydroxy, Blood"
"38187-1","Bile acid.dihydroxy, Blood"
"16466-5","Bile acid.trihydroxy, Blood"
"38188-9","Bile acid.trihydroxy, Blood"
"80163-9","Bile alcohols panel, Urine"
"80162-1","Bile alcohols, Urine"
"20426-3","Bile alkaline phosphatase, Blood"
"53524-5","Bile alkaline phosphatase, Blood"
"44034-7","Bile canalicular antibody, Blood"
"44016-4","Bile, Body fluid"
"1965-3","Bile, Stool"
"10745-8","Bile.microscopic observation, Tissue"
"95229-1","Biliary tract neoplasm chromosome analysis, Tissue"
"95230-9","Biliary tract neoplasm chromosome aneuploidy and cytology analysis, Tissue"
"44075-0","Bilirubin casts, Urine sediment"
"33236-1","Bilirubin crystals, Urine"
"25146-2","Bilirubin crystals, Urine sediment"
"38442-0","Bilirubin crystals, Urine sediment"
"5771-1","Bilirubin crystals, Urine sediment"
"34543-9","Bilirubin direct and Total panel, Blood"
"72264-5","Bilirubin excess and Oxyhemoglobin and Methemoglobin and Xanthochromia and albumin quotient panel, Serum+Cerebrospinal fluid"
"72261-1","Bilirubin excess, Serum+Cerebrospinal fluid"
"75697-3","Bilirubin fractions panel, Blood"
"1969-5","Bilirubin renal clearance, Urine+Blood"
"12476-8","Bilirubin, Amniotic fluid"
"13877-6","Bilirubin, Amniotic fluid"
"1972-9","Bilirubin, Amniotic fluid"
"27198-1","Bilirubin, Amniotic fluid"
"43887-9","Bilirubin, Amniotic fluid"
"47225-8","Bilirubin, Amniotic fluid"
"72925-1","Bilirubin, Amniotic fluid"
"14631-6","Bilirubin, Blood"
"1975-2","Bilirubin, Blood"
"35194-0","Bilirubin, Blood"
"42719-5","Bilirubin, Blood"
"54363-7","Bilirubin, Blood"
"59827-6","Bilirubin, Blood"
"59828-4","Bilirubin, Blood"
"77137-8","Bilirubin, Blood"
"89871-8","Bilirubin, Blood"
"89872-6","Bilirubin, Blood"
"97770-2","Bilirubin, Blood"
"11132-8","Bilirubin, Body fluid"
"1974-5","Bilirubin, Body fluid"
"29767-1","Bilirubin, Body fluid"
"35193-2","Bilirubin, Body fluid"
"43824-2","Bilirubin, Body fluid"
"47994-9","Bilirubin, Cord blood"
"48624-1","Bilirubin, Cord blood"
"14420-4","Bilirubin, Dialysis fluid"
"54362-9","Bilirubin, Dialysis fluid"
"49763-6","Bilirubin, Pericardial fluid"
"14422-0","Bilirubin, Peritoneal fluid"
"39461-9","Bilirubin, Peritoneal fluid"
"77452-1","Bilirubin, Peritoneal fluid"
"14421-2","Bilirubin, Pleural fluid"
"58941-6","Bilirubin, Skin"
"72898-0","Bilirubin, Skin"
"32303-0","Bilirubin, Specimen"
"33870-7","Bilirubin, Specimen"
"1973-7","Bilirubin, Spinal fluid"
"53415-6","Bilirubin, Spinal fluid"
"74906-9","Bilirubin, Spinal fluid"
"14424-6","Bilirubin, Stomach fluid"
"74434-2","Bilirubin, Stone"
"1976-0","Bilirubin, Stool"
"59166-9","Bilirubin, Stool"
"14423-8","Bilirubin, Synovial fluid"
"1977-8","Bilirubin, Urine"
"1978-6","Bilirubin, Urine"
"20505-4","Bilirubin, Urine"
"41016-7","Bilirubin, Urine"
"44033-9","Bilirubin, Urine"
"50551-1","Bilirubin, Urine"
"53327-3","Bilirubin, Urine"
"5770-3","Bilirubin, Urine"
"58450-8","Bilirubin, Urine"
"68367-2","Bilirubin, Urine"
"70199-5","Bilirubin, Urine"
"15152-2","Bilirubin.conjugated, Blood"
"29760-6","Bilirubin.conjugated, Blood"
"33458-1","Bilirubin.conjugated, Body fluid"
"39462-7","Bilirubin.conjugated, Body fluid"
"53083-2","Bilirubin.conjugated, Dialysis fluid"
"78441-3","Bilirubin.conjugated, Peritoneal fluid"
"34442-4","Bilirubin.conjugated/Total Bilirubin, Blood"
"33898-8","Bilirubin.conjugated+indirect, Blood"
"33899-6","Bilirubin.conjugated+indirect, Blood"
"1970-3","Bilirubin.delta, Blood"
"22665-4","Bilirubin.delta, Blood"
"14629-0","Bilirubin.direct, Blood"
"18264-2","Bilirubin.direct, Blood"
"1968-7","Bilirubin.direct, Blood"
"35191-6","Bilirubin.direct, Blood"
"43820-0","Bilirubin.direct, Blood"
"14152-3","Bilirubin.direct, Body fluid"
"25564-6","Bilirubin.direct, Body fluid"
"48623-3","Bilirubin.direct, Cord blood"
"56906-1","Bilirubin.direct, Peritoneal fluid"
"56905-3","Bilirubin.direct, Pleural fluid"
"35672-5","Bilirubin.direct/Total Bilirubin, Blood"
"14630-8","Bilirubin.indirect, Blood"
"15153-0","Bilirubin.indirect, Blood"
"1971-1","Bilirubin.indirect, Blood"
"35192-4","Bilirubin.indirect, Blood"
"29210-2","Bilirubin.indirect, Body fluid"
"39463-5","Bilirubin.indirect, Body fluid"
"64082-1","Bilirubin.indirect, Cord blood"
"78442-1","Bilirubin.indirect, Peritoneal fluid"
"43428-2","Bilirubin.microscopic observation, Tissue"
"50041-3","Bilirubin+Urobilinogen, Urine"
"41869-9","Bioavailable and Free Testosterone/Testosterone.total, Blood"
"13883-4","Bioavailable estradiol, Blood"
"13884-2","Bioavailable estradiol, Blood"
"14970-8","Bioavailable estrone, Blood"
"14971-6","Bioavailable estrone, Blood"
"23669-5","Biochanin A, Blood"
"94738-2","Biopsy site"
"75039-8","Biopterin, Blood"
"47581-4","Biopterin, Spinal fluid"
"1979-4","Biopterin, Urine"
"34170-1","Biopterin, Urine"
"79282-0","Biopterin/Biopterin+Neopterin, Urine"
"47582-2","Biopterin/Creatinine, Urine"
"1980-2","Biotin, Blood"
"31997-0","Biotin, Blood"
"34398-8","Biotin, Blood"
"57699-1","Biotinidase deficiency newborn screening comment-discussion, Dried blood spot"
"46761-3","Biotinidase deficiency, Dried blood spot"
"57087-9","Biotinidase NBS Panel, Dried blood spot"
"55153-1","Biotinidase panel, Blood"
"1981-0","Biotinidase, Blood"
"1982-8","Biotinidase, Blood"
"32619-9","Biotinidase, Blood"
"80370-0","Biotinidase, Blood"
"38478-4","Biotinidase, Dried blood spot"
"75217-0","Biotinidase, Dried blood spot"
"54457-7","Biotinidase, normal Control Blood"
"16322-0","Biperiden, Blood"
"38635-9","Biphenyl, Air"
"7149-8","Bipolanis curvularia allergy test"
"99127-3","BIRC3 gene variant analysis, Blood or tissue specimen"
"15578-8","Birch allergy test"
"6043-4","Birch allergy test"
"7150-6","Birch White allergy test"
"21112-8","Birth date"
"8290-9","Birth Head Circumference"
"8291-7","Birth Head Circumference by Ultrasound"
"62331-4","Birth hospital facility address"
"62329-8","Birth hospital facility ID"
"62330-6","Birth hospital facility name"
"62332-2","Birth hospital facility phone number"
"89269-5","Birth Length"
"56056-5","Birth Weight"
"56092-0","Birth Weight"
"56093-8","Birth Weight"
"8339-4","Birth Weight"
"38664-9","Bis(2-Chloroethyl) ether, Air"
"38637-5","Bis(Chloromethyl) ether, Air"
"48042-6","Bisacodyl cutoff, Stool"
"4142-6","Bisacodyl dose"
"10889-4","Bisacodyl, Stool"
"49515-0","Bisacodyl, Stool"
"27180-9","Bisacodyl, Urine"
"43912-5","Bisacodyl, Urine"
"16467-3","Bismuth, Blood"
"25351-8","Bismuth, Blood"
"43894-5","Bismuth, Blood"
"5597-0","Bismuth, Blood"
"81429-3","Bismuth, Blood"
"8161-2","Bismuth, Blood"
"9493-8","Bismuth, Body fluid"
"50826-7","Bismuth, Hair"
"60057-7","Bismuth, Hair"
"60058-5","Bismuth, Red blood cells"
"43886-1","Bismuth, Specimen"
"60059-3","Bismuth, Tissue"
"16468-1","Bismuth, Urine"
"21113-6","Bismuth, Urine"
"29918-0","Bismuth, Urine"
"43878-8","Bismuth, Urine"
"52887-7","Bismuth, Urine"
"52898-4","Bismuth, Urine"
"5598-8","Bismuth, Urine"
"16469-9","Bismuth/Creatinine, Urine"
"29940-4","Bismuth/Creatinine, Urine"
"52906-5","Bismuth/Creatinine, Urine"
"52907-3","Bismuth/Creatinine, Urine"
"59288-1","Bisphenol A, Urine"
"72663-8","Bisphosphoglycerate mutase, Red blood cells"
"10371-3","Bite cells, Blood"
"50714-5","Bitter dock allergy test"
"73503-5","Bivalirudin induced platelet IgG, Blood"
"73502-7","Bivalirudin induced platelet IgM, Blood"
"43584-2","Bizarre cells, Blood"
"60455-3","Bizarre platelets, Blood"
"26645-2","BK virus antibody, Blood"
"62466-8","BK virus IgG antibody, Blood"
"72483-1","BK virus subtype, Blood"
"72484-9","BK virus subtype, Blood"
"72413-8","BK virus subtype, Specimen"
"72482-3","BK virus subtype, Tissue"
"72412-0","BK virus subtype, Urine"
"100674-1","BK virus, Blood"
"32284-2","BK virus, Blood"
"32362-6","BK virus, Blood"
"41479-7","BK virus, Blood"
"44805-0","BK virus, Blood"
"49345-2","BK virus, Blood"
"63475-8","BK virus, Blood"
"49343-7","BK virus, Bone marrow"
"49346-0","BK virus, Bronchoalveolar lavage specimen"
"42587-6","BK virus, Specimen"
"43201-3","BK virus, Specimen"
"47251-4","BK virus, Specimen"
"48309-9","BK virus, Specimen"
"46970-0","BK virus, Spinal fluid"
"49344-5","BK virus, Spinal fluid"
"49342-9","BK virus, Tissue"
"32285-9","BK virus, Urine"
"33978-8","BK virus, Urine"
"41480-5","BK virus, Urine"
"90924-2","BK virus, Urine"
"90440-9","BK virus+JC virus, Specimen"
"64967-3","Black alder recombinant (rAln g) 1 allergy test"
"21067-4","Black ant allergy test"
"6044-2","Black ant allergy test"
"7082-1","Black ant IgG antibody"
"7083-9","Black ant triggered histamine release, Blood"
"21077-3","Black ash allergy test"
"15558-0","Black bass allergy test"
"61285-3","Black bass allergy test"
"7120-9","Black bass allergy test"
"63142-4","Black bass IgG antibody"
"56192-8","Black bass IgG4 antibody"
"21096-3","Black bean allergy test"
"21097-1","Black bean allergy test"
"18417-6","Black bean IgG antibody"
"15954-1","Black cottonwood allergy test"
"7254-6","Black cottonwood allergy test"
"7620-8","Black cottonwood allergy test"
"15341-1","Black fly allergy test"
"15716-4","Black fly allergy test"
"7086-2","Black imported fire ant allergy test"
"15823-8","Black locust allergy test"
"7473-2","Black locust allergy test"
"7528-3","Black oak allergy test"
"15925-1","Black pepper allergy test"
"50364-9","Black pepper allergy test"
"6045-9","Black pepper allergy test"
"60392-8","Black pepper IgG antibody"
"7588-7","Black pepper IgG antibody"
"21449-4","Black pepper IgG RAST class"
"56450-0","Black pepper IgG4 antibody"
"7589-5","Black pepper triggered histamine release, Blood"
"95959-3","Black salsify allergy test"
"16075-4","Black walnut allergy test"
"7763-6","Black walnut allergy test"
"24136-4","Black walnut IgG antibody"
"16076-2","Black walnut pollen allergy test"
"6046-7","Black walnut pollen allergy test"
"7764-4","Black western walnut allergy test"
"16092-9","Black willow allergy test"
"6862-7","Black willow allergy test"
"56193-6","Black willow IgG4 antibody"
"15580-4","Blackberry allergy test"
"45227-6","Blackberry allergy test"
"7151-4","Blackberry allergy test"
"63112-7","Blackberry IgG antibody"
"56194-4","Blackberry IgG4 antibody"
"96276-1","Blackcurrant allergy test"
"15914-5","Black-eye pea allergy test"
"7571-3","Black-eye pea allergy test"
"63100-2","Black-eye pea IgG antibody"
"7572-1","Black-eye pea IgG antibody"
"56195-1","Black-eye pea IgG4 antibody"
"11278-9","Bladder cells, Urine sediment"
"58456-5","Bladder cells, Urine sediment"
"84906-7","Bladder neck involvement, Prostate Tumor"
"8334-5","Bladder temperature"
"76278-1","Bladder temperature via Foley"
"28078-4","Bladder tumor antigen, Urine"
"28551-0","Bladder tumor antigen, Urine"
"31729-7","Bladder tumor antigen, Urine"
"31730-5","Bladder tumor antigen, Urine"
"80386-6","Bladder tumor antigen, Urine"
"70292-8","Blastocystis hominis, Stool"
"16470-7","Blastomyces dermatitidis antibody, Blood"
"16471-5","Blastomyces dermatitidis antibody, Blood"
"22112-7","Blastomyces dermatitidis antibody, Blood"
"44451-3","Blastomyces dermatitidis antibody, Blood"
"5057-5","Blastomyces dermatitidis antibody, Blood"
"5058-3","Blastomyces dermatitidis antibody, Blood"
"51787-0","Blastomyces dermatitidis antibody, Blood"
"7816-2","Blastomyces dermatitidis antibody, Blood"
"27386-2","Blastomyces dermatitidis antibody, Body fluid"
"31259-5","Blastomyces dermatitidis antibody, Body fluid"
"40826-0","Blastomyces dermatitidis antibody, Body fluid"
"42490-3","Blastomyces dermatitidis antibody, Pleural fluid"
"43084-3","Blastomyces dermatitidis antibody, Pleural fluid"
"13201-9","Blastomyces dermatitidis antibody, Spinal fluid"
"18197-4","Blastomyces dermatitidis antibody, Spinal fluid"
"23959-0","Blastomyces dermatitidis antibody, Spinal fluid"
"23976-4","Blastomyces dermatitidis antibody, Spinal fluid"
"34580-1","Blastomyces dermatitidis antibody, Spinal fluid"
"43900-0","Blastomyces dermatitidis antibody, Spinal fluid"
"51741-7","Blastomyces dermatitidis antibody, Spinal fluid"
"31731-3","Blastomyces dermatitidis antigen, Blood"
"6313-1","Blastomyces dermatitidis antigen, Blood"
"54455-1","Blastomyces dermatitidis antigen, Body fluid"
"41746-9","Blastomyces dermatitidis antigen, Urine"
"81653-8","Blastomyces dermatitidis drk1 & Histoplasma capsulatum gapdh genes, Specimen"
"14197-8","Blastomyces dermatitidis exoantigen identification"
"18198-2","Blastomyces dermatitidis IgE antibody, Blood"
"18199-0","Blastomyces dermatitidis IgG antibody, Blood"
"43865-5","Blastomyces dermatitidis IgG antibody, Blood"
"9494-6","Blastomyces dermatitidis IgG antibody, Blood"
"99098-6","Blastomyces dermatitidis IgG antibody, Blood"
"43864-8","Blastomyces dermatitidis IgG antibody, Spinal fluid"
"46160-8","Blastomyces dermatitidis IgG antibody, Spinal fluid"
"99097-8","Blastomyces dermatitidis IgG antibody, Spinal fluid"
"18200-6","Blastomyces dermatitidis IgM antibody, Blood"
"38443-8","Blastomyces dermatitidis IgM antibody, Blood"
"16472-3","Blastomyces dermatitidis, Blood"
"4990-8","Blastomyces dermatitidis, Specimen"
"97519-3","Blastomyces sp antibody band pattern, Specimen"
"23670-3","Blastomyces sp antibody, Blood"
"33377-3","Blastomyces sp antibody, Blood"
"33378-1","Blastomyces sp antibody, Blood"
"41481-3","Blastomyces sp antibody, Blood"
"43083-5","Blastomyces sp antibody, Blood"
"97855-1","Blastomyces sp antibody, Specimen"
"93430-7","Blastomyces sp antigen, Blood"
"99083-8","Blastomyces sp antigen, Body fluid"
"93432-3","Blastomyces sp antigen, Bronchoalveolar lavage specimen"
"93431-5","Blastomyces sp antigen, Spinal fluid"
"93429-9","Blastomyces sp antigen, Urine"
"95916-3","Blastomyces sp, Lower respiratory"
"95914-8","Blastomyces sp, Tissue"
"74233-8","Blasts assessment, Bone marrow"
"11150-0","Blasts per 100 cells, Bone marrow"
"74851-7","Blasts per 100 cells, Lymph Node"
"61126-9","Blasts per 100 cells, Specimen"
"21114-4","Blasts per 100 white blood cells, Blood"
"26446-5","Blasts per 100 white blood cells, Blood"
"709-6","Blasts per 100 white blood cells, Blood"
"13522-8","Blasts per 100 white blood cells, Body fluid"
"26448-1","Blasts per 100 white blood cells, Body fluid"
"74455-7","Blasts per 100 white blood cells, Cord blood"
"33412-8","Blasts per 100 white blood cells, Pericardial fluid"
"33372-4","Blasts per 100 white blood cells, Peritoneal fluid"
"33373-2","Blasts per 100 white blood cells, Pleural fluid"
"13521-0","Blasts per 100 white blood cells, Spinal fluid"
"26447-3","Blasts per 100 white blood cells, Spinal fluid"
"95214-3","Blasts per 100 white blood cells, Stem Cell Product"
"33374-0","Blasts per 100 white blood cells, Synovial fluid"
"15154-8","Blasts, Blood"
"30376-8","Blasts, Blood"
"40611-6","Blasts, Blood"
"44017-2","Blasts, Blood"
"708-8","Blasts, Blood"
"35067-8","Blasts, Body fluid"
"40570-4","Blasts, Body fluid"
"76403-5","Blasts, Body fluid"
"74395-5","Blasts, Cord blood"
"35065-2","Blasts, Peritoneal fluid"
"35066-0","Blasts, Pleural fluid"
"35068-6","Blasts, Spinal fluid"
"56470-8","Blasts, Spinal fluid"
"35064-5","Blasts, Synovial fluid"
"71669-6","Blasts/White Blood Cells, Blood"
"71644-9","Blasts/White Blood Cells, Body fluid"
"71656-3","Blasts/White Blood Cells, Spinal fluid"
"11067-6","Bleeding time"
"3178-1","Bleeding time"
"3179-9","Bleeding time"
"10372-1","Blister cells, Blood"
"32640-5","BLM gene variant analysis, Blood or tissue specimen"
"46991-6","BLM gene variant analysis, Blood or tissue specimen"
"48331-3","BLM gene variants tested for, Blood or tissue specimen"
"10921-5","Blomia tropicalis allergy test"
"15581-2","Blomia tropicalis allergy test"
"99456-6","Blomia tropicalis IgG antibody"
"99427-7","Blomia tropicalis IgG4 antibody"
"64979-8","Blomia tropicalis recombinant (rBlo t) 5 allergy test"
"20467-7","Blood bank alert"
"19066-0","Blood bank comment"
"923-3","Blood collection bag lot, Blood Product Unit"
"99711-4","Blood flow rate"
"92805-1","Blood fungal pathogens panel, Infected blood"
"74124-9","Blood Group 8 (BG8) antigen, Tissue"
"34477-0","Blood group antibodies test, Blood"
"34478-8","Blood group antibodies test, Blood"
"34479-6","Blood group antibodies test, Blood"
"34480-4","Blood group antibodies test, Blood"
"34481-2","Blood group antibodies test, Blood"
"34482-0","Blood group antibodies test, Blood"
"888-8","Blood group antibodies test, Blood"
"14604-3","Blood group antibodies test, Blood Product Unit"
"889-6","Blood group antibodies test, Blood Product Unit"
