"Category","GroupId","Archetype","LoincNumber","LongCommonName"
"Document groups","LG38954-0","","77410-9","Cardiology Hospital Discharge teaching note"
"Document groups","LG38954-0","","77411-7","Cardiology Education note"
"Document groups","LG38954-0","","77412-5","Cardiology History and physical note"
"Document groups","LG38954-0","","77413-3","Cardiology Initial evaluation note"
"Document groups","LG38954-0","","77414-1","Cardiology Transfer summary note"
"Document groups","LG38954-0","","77437-2","Cardiology Flowsheet"
"Document groups","LG38954-0","","77442-2","Cardiology Plan of care note"
"Document groups","LG38954-0","","78710-1","Cardiology Progress note"
"Document groups","LG38954-0","","83522-3","Cardiology Intensive care unit Admission evaluation note"
"Document groups","LG38954-0","","83523-1","Cardiology Intensive care unit Discharge summary"
"Document groups","LG38954-0","","83524-9","Cardiology Intensive care unit Note"
"Document groups","LG38954-0","","83525-6","Cardiology Intensive care unit procedure note"
"Document groups","LG38954-0","","83526-4","Cardiology Intensive care unit Transfer summary note"
"Document groups","LG38954-0","","83529-8","Cardiology Patient's home Note"
"Document groups","LG38954-0","","83534-8","Cardiology Observation unit Note"
"Document groups","LG38954-0","","83535-5","Cardiology Surgical operation note"
"Document groups","LG38954-0","","83537-1","Cardiology Preoperative evaluation and management note"
"Document groups","LG38954-0","","83539-7","Cardiology Risk assessment and screening note"
"Document groups","LG38954-0","","83540-5","Cardiology Telephone encounter Note"
"Document groups","LG38954-0","","83541-3","Cardiology Transplant candidate evaluation note"
"Document groups","LG38954-0","","85938-9","Cardiology Postoperative evaluation and management note"
"Document groups","LG38954-0","","86208-6","Cardiology Telehealth Note"
"Document groups","LG38954-0","","94462-9","Cardiology Intensive care unit Consult note"
"Document groups","LG38954-0","","94467-8","Cardiology Intensive care unit Progress note"
"Document groups","LG38955-7","","34754-2","Critical care medicine Note"
"Document groups","LG38955-7","","34755-9","Critical care medicine Transfer summary note"
"Document groups","LG38955-7","","57178-6","Critical care medicine Referral note"
"Document groups","LG38955-7","","64058-1","Critical care medicine Hospital Admission evaluation note"
"Document groups","LG38955-7","","64059-9","Critical care medicine Hospital Progress note"
"Document groups","LG38955-7","","77415-8","Critical care medicine Admission history and physical note"
"Document groups","LG38955-7","","77416-6","Critical care medicine Discharge instructions"
"Document groups","LG38955-7","","77417-4","Critical care medicine Discharge summary"
"Document groups","LG38955-7","","77418-2","Critical care medicine Discharge teaching note"
"Document groups","LG38955-7","","77419-0","Critical care medicine Education note"
"Document groups","LG38955-7","","77420-8","Critical care medicine History and physical note"
"Document groups","LG38955-7","","77421-6","Critical care medicine Initial evaluation note"
"Document groups","LG38955-7","","77422-4","Critical care medicine procedure note"
"Document groups","LG38955-7","","77440-6","Critical care medicine Flowsheet"
"Document groups","LG38955-7","","77445-5","Critical care medicine Plan of care note"
"Document groups","LG38955-7","","78380-3","Critical care medicine Surgical operation note"
"Document groups","LG38955-7","","78496-7","Critical care medicine Consult note"
"Document groups","LG38955-7","","94775-4","Critical care medicine Telehealth Note"
"Document groups","LG38955-7","","94814-1","Critical care medicine COVID-19 Consultation note"
"Document groups","LG38955-7","","96146-6","Critical care medicine Evaluation note"
"Document groups","LG38956-5","","100566-9","Dentistry Hospital Progress note"
"Document groups","LG38956-5","","28572-6","Dentistry Initial evaluation note"
"Document groups","LG38956-5","","28577-5","Dentistry procedure note"
"Document groups","LG38956-5","","28583-3","Dentist Operation note"
"Document groups","LG38956-5","","28617-9","Dentistry Progress note"
"Document groups","LG38956-5","","28618-7","Dentistry Note"
"Document groups","LG38956-5","","29761-4","Dentistry Discharge summary"
"Document groups","LG38956-5","","34128-9","Dentistry Outpatient Progress note"
"Document groups","LG38956-5","","34756-7","Dentistry Consult note"
"Document groups","LG38956-5","","34757-5","Dentistry Evaluation note"
"Document groups","LG38956-5","","57134-9","Dentistry Referral note"
"Document groups","LG38956-5","","78259-9","Dentistry Diagnostic study note"
"Document groups","LG38956-5","","78275-5","Dentistry Education note"
"Document groups","LG38956-5","","78301-9","Dentistry Flowsheet"
"Document groups","LG38956-5","","80743-8","Dentistry Plan of care note"
"Document groups","LG38956-5","","83828-4","Dentistry Preoperative evaluation and management note"
"Document groups","LG38956-5","","83829-2","Dentistry Administrative note"
"Document groups","LG38956-5","","83830-0","Dentistry History and physical note"
"Document groups","LG38956-5","","83831-8","Dentistry Hospital Note"
"Document groups","LG38956-5","","83832-6","Dentistry Long term care facility Note"
"Document groups","LG38956-5","","83833-4","Dentistry Postoperative evaluation and management note"
"Document groups","LG38956-5","","83834-2","Dentistry Emergency department Note"
"Document groups","LG38956-5","","83835-9","Dentistry Risk assessment and screening note"
"Document groups","LG38956-5","","83836-7","Dentistry Summary note"
"Document groups","LG38956-5","","83838-3","Dentistry Telephone encounter Note"
"Document groups","LG38956-5","","83839-1","Dentistry Transplant candidate evaluation note"
"Document groups","LG38956-5","","94776-2","Dentistry Telehealth Note"
"Document groups","LG38957-3","","100460-5","Dermatology Outpatient Progress note"
"Document groups","LG38957-3","","100567-7","Dermatology Hospital Progress note"
"Document groups","LG38957-3","","34758-3","Dermatology Consult note"
"Document groups","LG38957-3","","34759-1","Dermatology Note"
"Document groups","LG38957-3","","57135-6","Dermatology Referral note"
"Document groups","LG38957-3","","68550-3","Dermatology Preoperative evaluation and management note"
"Document groups","LG38957-3","","68551-1","Dermatology Hospital Consult note"
"Document groups","LG38957-3","","78260-7","Dermatology Diagnostic study note"
"Document groups","LG38957-3","","78269-8","Dermatology Education note"
"Document groups","LG38957-3","","78294-6","Dermatology Flowsheet"
"Document groups","LG38957-3","","78314-2","Dermatology procedure note"
"Document groups","LG38957-3","","78326-6","Dermatology Progress note"
"Document groups","LG38957-3","","78334-0","Dermatology Initial evaluation note"
"Document groups","LG38957-3","","80751-1","Dermatology Plan of care note"
"Document groups","LG38957-3","","84076-9","Dermatology Administrative note"
"Document groups","LG38957-3","","84077-7","Dermatology History and physical note"
"Document groups","LG38957-3","","84078-5","Dermatology Hospital Note"
"Document groups","LG38957-3","","84079-3","Dermatology Surgical operation note"
"Document groups","LG38957-3","","84080-1","Dermatology Outpatient Note"
"Document groups","LG38957-3","","84081-9","Dermatology Outpatient procedure note"
"Document groups","LG38957-3","","84082-7","Dermatology Telephone encounter Note"
"Document groups","LG38957-3","","84083-5","Dermatology Transfer summary note"
"Document groups","LG38957-3","","85887-8","Dermatology Postoperative evaluation and management note"
"Document groups","LG38957-3","","94519-6","Dermatology Discharge summary"
"Document groups","LG38957-3","","94777-0","Dermatology Telehealth Note"
"Document groups","LG38957-3","","96169-8","Dermatology Evaluation note"
"Document groups","LG38957-3","","96183-9","Dermatology Photographic image"
"Document groups","LG38958-1","","100724-4","Diabetology Discharge summary"
"Document groups","LG38958-1","","101020-6","Diabetology History and physical note"
"Document groups","LG38958-1","","34110-7","Diabetology Outpatient Note"
"Document groups","LG38958-1","","34760-9","Diabetology Consult note"
"Document groups","LG38958-1","","34861-5","Diabetology Note"
"Document groups","LG38958-1","","34897-9","Diabetology Education note"
"Document groups","LG38958-1","","57136-4","Diabetology Referral note"
"Document groups","LG38958-1","","84085-0","Diabetology Group counseling note"
"Document groups","LG38958-1","","84086-8","Diabetology Initial evaluation note"
"Document groups","LG38958-1","","84087-6","Diabetology Hospital Note"
"Document groups","LG38958-1","","84088-4","Diabetology Medication management note"
"Document groups","LG38958-1","","84089-2","Diabetology Outpatient Group counseling note"
"Document groups","LG38958-1","","84090-0","Diabetology Outpatient Initial evaluation note"
"Document groups","LG38958-1","","84091-8","Diabetology Outpatient Risk assessment and screening note"
"Document groups","LG38958-1","","84092-6","Diabetology Risk assessment and screening note"
"Document groups","LG38958-1","","84093-4","Diabetology Telephone encounter Note"
"Document groups","LG38958-1","","84094-2","Diabetology Plan of care note"
"Document groups","LG38958-1","","89890-8","Diabetology Telehealth Note"
"Document groups","LG38958-1","","96334-8","Diabetology Diagnostic study note"
"Document groups","LG38959-9","","100466-2","Gastroenterology Outpatient Progress note"
"Document groups","LG38959-9","","100573-5","Gastroenterology Hospital Progress note"
"Document groups","LG38959-9","","34761-7","Gastroenterology Consult note"
"Document groups","LG38959-9","","34762-5","Gastroenterology Note"
"Document groups","LG38959-9","","34899-5","Gastroenterology Interventional procedure note"
"Document groups","LG38959-9","","57138-0","Gastroenterology Referral note"
"Document groups","LG38959-9","","78241-7","Gastroenterology Surgical operation note"
"Document groups","LG38959-9","","78256-5","Gastroenterology Diagnostic study note"
"Document groups","LG38959-9","","78270-6","Gastroenterology Education note"
"Document groups","LG38959-9","","78297-9","Gastroenterology Flowsheet"
"Document groups","LG38959-9","","78317-5","Gastroenterology procedure note"
"Document groups","LG38959-9","","78323-3","Gastroenterology Progress note"
"Document groups","LG38959-9","","78339-9","Gastroenterology Initial evaluation note"
"Document groups","LG38959-9","","80750-3","Gastroenterology Plan of care note"
"Document groups","LG38959-9","","84101-5","Gastroenterology Administrative note"
"Document groups","LG38959-9","","84102-3","Gastroenterology Admission evaluation note"
"Document groups","LG38959-9","","84104-9","Gastroenterology History and physical note"
"Document groups","LG38959-9","","84105-6","Gastroenterology Hospital Note"
"Document groups","LG38959-9","","84106-4","Gastroenterology Letter"
"Document groups","LG38959-9","","84107-2","Gastroenterology Outpatient Note"
"Document groups","LG38959-9","","84108-0","Gastroenterology Telephone encounter Note"
"Document groups","LG38959-9","","85941-3","Gastroenterology Postoperative evaluation and management note"
"Document groups","LG38959-9","","85942-1","Gastroenterology Preoperative evaluation and management note"
"Document groups","LG38959-9","","94520-4","Gastroenterology Discharge summary"
"Document groups","LG38959-9","","94780-4","Gastroenterology Telehealth Note"
"Document groups","LG38959-9","","96153-2","Gastroenterology Evaluation note"
"Document groups","LG38960-7","","100574-3","General medicine Hospital Progress note"
"Document groups","LG38960-7","","34101-6","General medicine Outpatient Consult note"
"Document groups","LG38960-7","","34763-3","General medicine Admission history and physical note"
"Document groups","LG38960-7","","34764-1","General medicine Consult note"
"Document groups","LG38960-7","","34765-8","General medicine Note"
"Document groups","LG38960-7","","34766-6","General medicine Outpatient Note"
"Document groups","LG38960-7","","34770-8","General medicine Transfer summary note"
"Document groups","LG38960-7","","34900-1","General medicine Progress note"
"Document groups","LG38960-7","","34901-9","General medicine Outpatient Progress note"
"Document groups","LG38960-7","","57139-8","General medicine Referral note"
"Document groups","LG38960-7","","64053-2","General medicine Hospital Admission evaluation note"
"Document groups","LG38960-7","","78262-3","General medicine Discharge instructions"
"Document groups","LG38960-7","","78264-9","General medicine Discharge summary"
"Document groups","LG38960-7","","78267-2","General medicine Discharge teaching note"
"Document groups","LG38960-7","","78272-2","General medicine Education note"
"Document groups","LG38960-7","","78298-7","General medicine Flowsheet"
"Document groups","LG38960-7","","78308-4","General medicine History and physical note"
"Document groups","LG38960-7","","78320-9","General medicine procedure note"
"Document groups","LG38960-7","","78335-7","General medicine Initial evaluation note"
"Document groups","LG38960-7","","80745-3","General medicine Plan of care note"
"Document groups","LG38960-7","","94781-2","General medicine Telehealth Note"
"Document groups","LG38960-7","","96127-6","General medicine Evaluation note"
"Document groups","LG38961-5","","34767-4","General medicine Medical student Note"
"Document groups","LG38961-5","","64054-0","General medicine Medical student Hospital Admission evaluation note"
"Document groups","LG38961-5","","64055-7","General medicine Medical student Hospital Progress note"
"Document groups","LG38961-5","","64056-5","General medicine Medical student Hospital Consult note"
"Document groups","LG38963-1","","34769-0","General medicine Attending Note"
"Document groups","LG38963-1","","34862-3","General medicine Attending Hospital Admission evaluation note"
"Document groups","LG38963-1","","68475-3","General medicine Attending Hospital Progress note"
"Document groups","LG38964-9","","34771-6","Deprecated General surgery Consult note"
"Document groups","LG38964-9","","34772-4","Deprecated General surgery Note"
"Document groups","LG38964-9","","34775-7","Deprecated General surgery Pre-operative evaluation and management note"
"Document groups","LG38964-9","","34863-1","Deprecated General surgery Post-operative evaluation and management note"
"Document groups","LG38964-9","","57140-6","Deprecated General surgery Referral note"
"Document groups","LG38965-6","","34773-2","Surgery Attending Note"
"Document groups","LG38965-6","","68480-3","Surgery Attending Hospital Progress note"
"Document groups","LG38965-6","","83670-0","Surgery Attending Admission evaluation note"
"Document groups","LG38965-6","","83671-8","Surgery Attending Intensive care unit Admission evaluation note"
"Document groups","LG38965-6","","83672-6","Surgery Attending Intensive care unit Note"
"Document groups","LG38965-6","","83673-4","Surgery Attending Surgical operation note"
"Document groups","LG38965-6","","83674-2","Surgery Attending Outpatient Note"
"Document groups","LG38965-6","","83675-9","Surgery Attending Postoperative evaluation and management note"
"Document groups","LG38965-6","","85948-8","Surgery Attending Preoperative evaluation and management note"
"Document groups","LG38966-4","","34774-0","Surgery History and physical note"
"Document groups","LG38966-4","","34847-4","Surgery Consult note"
"Document groups","LG38966-4","","34848-2","Surgery Note"
"Document groups","LG38966-4","","34873-0","Surgery Admission evaluation note"
"Document groups","LG38966-4","","34874-8","Surgery Surgical operation note"
"Document groups","LG38966-4","","34875-5","Surgery Postoperative evaluation and management note"
"Document groups","LG38966-4","","34876-3","Surgery Preoperative evaluation and management note"
"Document groups","LG38966-4","","57166-1","Surgery Referral note"
"Document groups","LG38966-4","","64057-3","Surgery Hospital Progress note"
"Document groups","LG38966-4","","68606-3","Surgery Hospital Postoperative evaluation and management note"
"Document groups","LG38966-4","","75493-7","Surgery Outpatient Note"
"Document groups","LG38966-4","","78247-4","Surgery Admission history and physical note"
"Document groups","LG38966-4","","78280-5","Surgery Education note"
"Document groups","LG38966-4","","78292-0","Surgery Flowsheet"
"Document groups","LG38966-4","","78322-5","Surgery procedure note"
"Document groups","LG38966-4","","78503-0","Surgery Checklist"
"Document groups","LG38966-4","","78729-1","Surgery Transfer summary note"
"Document groups","LG38966-4","","80753-7","Surgery Plan of care note"
"Document groups","LG38966-4","","84012-4","Surgery Intensive care unit Admission evaluation note"
"Document groups","LG38966-4","","84013-2","Surgery Intensive care unit Discharge summary"
"Document groups","LG38966-4","","84014-0","Surgery Intensive care unit Note"
"Document groups","LG38966-4","","84015-7","Surgery Intensive care unit procedure note"
"Document groups","LG38966-4","","84016-5","Surgery Intensive care unit Transfer summary note"
"Document groups","LG38966-4","","84017-3","Surgery Discharge summary"
"Document groups","LG38966-4","","84018-1","Surgery Outpatient Discharge summary"
"Document groups","LG38966-4","","84019-9","Surgery Outpatient History and physical note"
"Document groups","LG38966-4","","84020-7","Surgery Outpatient Surgical operation note"
"Document groups","LG38966-4","","84021-5","Surgery Outpatient procedure note"
"Document groups","LG38966-4","","84022-3","Surgery Telephone encounter Note"
"Document groups","LG38966-4","","85898-5","Surgery Diagnostic study note"
"Document groups","LG38966-4","","85945-4","Surgery Outpatient Postoperative evaluation and management note"
"Document groups","LG38966-4","","85946-2","Surgery Outpatient Preoperative evaluation and management note"
"Document groups","LG38966-4","","88652-3","Surgery Parenteral therapy note"
"Document groups","LG38966-4","","94782-0","Surgery Telehealth Note"
"Document groups","LG38967-2","","100467-0","Geriatric medicine Outpatient Progress note"
"Document groups","LG38967-2","","100575-0","Geriatric medicine Hospital Progress note"
"Document groups","LG38967-2","","101059-4","Geriatric medicine Letter"
"Document groups","LG38967-2","","34776-5","Geriatric medicine Consult note"
"Document groups","LG38967-2","","34902-7","Geriatric medicine Outpatient Education note"
"Document groups","LG38967-2","","57171-1","Geriatric medicine Referral note"
"Document groups","LG38967-2","","67854-0","Geriatric medicine Education note"
"Document groups","LG38967-2","","68672-5","Geriatric medicine Skilled nursing facility Note"
"Document groups","LG38967-2","","80809-7","Geriatric medicine Admission history and physical note"
"Document groups","LG38967-2","","80810-5","Geriatric medicine Discharge instructions"
"Document groups","LG38967-2","","80811-3","Geriatric medicine Discharge summary"
"Document groups","LG38967-2","","80812-1","Geriatric medicine Discharge teaching note"
"Document groups","LG38967-2","","80813-9","Geriatric medicine History and physical note"
"Document groups","LG38967-2","","80814-7","Geriatric medicine Initial evaluation note"
"Document groups","LG38967-2","","80815-4","Geriatric medicine Progress note"
"Document groups","LG38967-2","","80816-2","Geriatric medicine Transfer summary note"
"Document groups","LG38967-2","","80817-0","Geriatric medicine Flowsheet"
"Document groups","LG38967-2","","80818-8","Geriatric medicine Plan of care note"
"Document groups","LG38967-2","","82355-9","Geriatric medicine procedure note"
"Document groups","LG38967-2","","84109-8","Geriatric medicine Admission evaluation note"
"Document groups","LG38967-2","","84110-6","Geriatric medicine Annual evaluation note"
"Document groups","LG38967-2","","84112-2","Geriatric medicine Group counseling note"
"Document groups","LG38967-2","","84113-0","Geriatric medicine Patient's home Note"
"Document groups","LG38967-2","","84114-8","Geriatric medicine Hospital Note"
"Document groups","LG38967-2","","84115-5","Geriatric medicine Long term care facility Consult note"
"Document groups","LG38967-2","","84116-3","Geriatric medicine Long term care facility Note"
"Document groups","LG38967-2","","84117-1","Geriatric medicine Long term care facility Plan of care note"
"Document groups","LG38967-2","","84118-9","Geriatric medicine Outpatient Initial evaluation note"
"Document groups","LG38967-2","","84119-7","Geriatric medicine Outpatient Note"
"Document groups","LG38967-2","","84121-3","Geriatric medicine Risk assessment and screening note"
"Document groups","LG38967-2","","84123-9","Geriatric medicine Telephone encounter Note"
"Document groups","LG38967-2","","85445-5","Geriatric medicine Note"
"Document groups","LG38967-2","","94783-8","Geriatric medicine Telehealth Note"
"Document groups","LG38967-2","","96144-1","Geriatric medicine Evaluation note"
"Document groups","LG38967-2","","99492-1","Geriatric medicine Emergency department Evaluation note"
"Document groups","LG38968-0","","100493-6","Obstetrics and Gynecology Outpatient Progress note"
"Document groups","LG38968-0","","100601-4","Obstetrics and Gynecology Hospital Progress note"
"Document groups","LG38968-0","","34777-3","Obstetrics and Gynecology Consult note"
"Document groups","LG38968-0","","34778-1","Obstetrics and Gynecology Note"
"Document groups","LG38968-0","","57179-4","Obstetrics and Gynecology Referral note"
"Document groups","LG38968-0","","68557-8","Obstetrics and Gynecology Diagnostic study note"
"Document groups","LG38968-0","","68558-6","Obstetrics and Gynecology Discharge summary"
"Document groups","LG38968-0","","68560-2","Obstetrics and Gynecology History and physical note"
"Document groups","LG38968-0","","68561-0","Deprecated Obstetrics and Gynecology Note"
"Document groups","LG38968-0","","68562-8","Obstetrics and Gynecology Preoperative evaluation and management note"
"Document groups","LG38968-0","","68563-6","Obstetrics and Gynecology procedure note"
"Document groups","LG38968-0","","68564-4","Obstetrics and Gynecology Progress note"
"Document groups","LG38968-0","","68565-1","Obstetrics and Gynecology Transfer summary note"
"Document groups","LG38968-0","","68566-9","Obstetrics and Gynecology Hospital Consult note"
"Document groups","LG38968-0","","68567-7","Obstetrics and Gynecology Hospital Letter"
"Document groups","LG38968-0","","77962-9","Obstetrics and Gynecology Summary note"
"Document groups","LG38968-0","","78711-9","Obstetrics and Gynecology Flowsheet"
"Document groups","LG38968-0","","78717-6","Obstetrics and Gynecology Checklist"
"Document groups","LG38968-0","","78718-4","Obstetrics and Gynecology Admission history and physical note"
"Document groups","LG38968-0","","78719-2","Obstetrics and Gynecology Surgical operation note"
"Document groups","LG38968-0","","78720-0","Obstetrics and Gynecology Discharge instructions"
"Document groups","LG38968-0","","78721-8","Obstetrics and Gynecology Discharge teaching note"
"Document groups","LG38968-0","","78722-6","Obstetrics and Gynecology Education note"
"Document groups","LG38968-0","","78723-4","Obstetrics and Gynecology Initial evaluation note"
"Document groups","LG38968-0","","80787-5","Obstetrics and Gynecology Plan of care note"
"Document groups","LG38968-0","","84304-5","Obstetrics and Gynecology Hospital Note"
"Document groups","LG38968-0","","84305-2","Obstetrics and Gynecology Administrative note"
"Document groups","LG38968-0","","84384-7","Obstetrics and Gynecology Outpatient Note"
"Document groups","LG38968-0","","84385-4","Obstetrics and Gynecology Postoperative evaluation and management note"
"Document groups","LG38968-0","","84386-2","Obstetrics and Gynecology Telephone encounter Note"
"Document groups","LG38969-8","","100474-6","Hematology+Medical oncology Outpatient Progress note"
"Document groups","LG38969-8","","100582-6","Hematology+Medical oncology Hospital Progress note"
"Document groups","LG38969-8","","101029-7","Hematology+Medical oncology History and physical note"
"Document groups","LG38969-8","","34779-9","Hematology+Medical oncology Consult note"
"Document groups","LG38969-8","","34780-7","Hematology+Medical oncology Note"
"Document groups","LG38969-8","","57172-9","Hematology+Medical oncology Referral note"
"Document groups","LG38969-8","","68553-7","Hematology+Medical oncology Initial evaluation note"
"Document groups","LG38969-8","","68554-5","Hematology+Medical oncology Progress note"
"Document groups","LG38969-8","","68555-2","Hematology+Medical oncology Hospital Letter"
"Document groups","LG38969-8","","78242-5","Hematology+Medical oncology Surgical operation note"
"Document groups","LG38969-8","","84138-7","Hematology+Medical oncology Conference note"
"Document groups","LG38969-8","","84139-5","Hematology+Medical oncology Discharge summary"
"Document groups","LG38969-8","","84140-3","Hematology+Medical oncology Education note"
"Document groups","LG38969-8","","84141-1","Hematology+Medical oncology Group counseling note"
"Document groups","LG38969-8","","84142-9","Hematology+Medical oncology Hospital Consult note"
"Document groups","LG38969-8","","84143-7","Hematology+Medical oncology Hospital Note"
"Document groups","LG38969-8","","84144-5","Hematology+Medical oncology Medication management note"
"Document groups","LG38969-8","","84145-2","Hematology+Medical oncology Outpatient Consult note"
"Document groups","LG38969-8","","84146-0","Hematology+Medical oncology Outpatient Note"
"Document groups","LG38969-8","","84147-8","Hematology+Medical oncology procedure note"
"Document groups","LG38969-8","","84148-6","Hematology+Medical oncology Risk assessment and screening note"
"Document groups","LG38969-8","","84150-2","Hematology+Medical oncology Telephone encounter Note"
"Document groups","LG38969-8","","84151-0","Hematology+Medical oncology Plan of care note"
"Document groups","LG38969-8","","85588-2","Hematology+Medical oncology Diagnostic study note"
"Document groups","LG38969-8","","86215-1","Hematology+Medical oncology Disease staging note"
"Document groups","LG38969-8","","88648-1","Hematology+Medical oncology Parenteral therapy note"
"Document groups","LG38969-8","","89884-1","Hematology+Medical oncology Telehealth Note"
"Document groups","LG38970-6","","100477-9","Infectious disease Outpatient Progress note"
"Document groups","LG38970-6","","100585-9","Infectious disease Hospital Progress note"
"Document groups","LG38970-6","","34781-5","Infectious disease Consult note"
"Document groups","LG38970-6","","34782-3","Infectious disease Note"
"Document groups","LG38970-6","","57141-4","Infectious disease Referral note"
"Document groups","LG38970-6","","78258-1","Infectious disease Diagnostic study note"
"Document groups","LG38970-6","","78281-3","Infectious disease Education note"
"Document groups","LG38970-6","","78293-8","Infectious disease Flowsheet"
"Document groups","LG38970-6","","78318-3","Infectious disease procedure note"
"Document groups","LG38970-6","","78325-8","Infectious disease Progress note"
"Document groups","LG38970-6","","78333-2","Infectious disease Initial evaluation note"
"Document groups","LG38970-6","","80739-6","Infectious disease Plan of care note"
"Document groups","LG38970-6","","84166-8","Infectious disease Counseling note"
"Document groups","LG38970-6","","84167-6","Infectious disease Group counseling note"
"Document groups","LG38970-6","","84168-4","Infectious disease Hospital Note"
"Document groups","LG38970-6","","84169-2","Infectious disease Outpatient Note"
"Document groups","LG38970-6","","84170-0","Infectious disease Risk assessment and screening note"
"Document groups","LG38970-6","","84171-8","Infectious disease Telephone encounter Note"
"Document groups","LG38970-6","","85264-0","Infectious disease Transplant candidate evaluation note"
"Document groups","LG38970-6","","88357-9","Infectious disease Alert"
"Document groups","LG38970-6","","89892-4","Infectious disease Telehealth Note"
"Document groups","LG38970-6","","94525-3","Infectious disease Discharge summary"
"Document groups","LG38970-6","","96161-5","Infectious disease Evaluation note"
"Document groups","LG38970-6","","97680-3","Infectious disease History and physical note"
"Document groups","LG38971-4","","101017-2","Kinesiotherapy History and physical note"
"Document groups","LG38971-4","","34783-1","Kinesiotherapy Consult note"
"Document groups","LG38971-4","","34784-9","Kinesiotherapy Note"
"Document groups","LG38971-4","","57142-2","Kinesiotherapy Referral note"
"Document groups","LG38971-4","","84179-1","Kinesiotherapy Discharge summary"
"Document groups","LG38971-4","","84180-9","Kinesiotherapy Education note"
"Document groups","LG38971-4","","84181-7","Kinesiotherapy Patient's home Note"
"Document groups","LG38971-4","","84182-5","Kinesiotherapy Initial evaluation note"
"Document groups","LG38971-4","","84183-3","Kinesiotherapy Long term care facility Plan of care note"
"Document groups","LG38971-4","","84184-1","Kinesiotherapy Outpatient Note"
"Document groups","LG38971-4","","84185-8","Kinesiotherapy Plan of care note"
"Document groups","LG38971-4","","96175-5","Kinesiotherapy Evaluation note"
"Document groups","LG38972-2","","100483-7","Mental health Outpatient Progress note"
"Document groups","LG38972-2","","100591-7","Mental health Hospital Progress note"
"Document groups","LG38972-2","","34785-6","Mental health Consult note"
"Document groups","LG38972-2","","34786-4","Mental health Note"
"Document groups","LG38972-2","","34787-2","Mental health Group counseling note"
"Document groups","LG38972-2","","34864-9","Mental health Counseling note"
"Document groups","LG38972-2","","34903-5","Deprecated Mental health Note"
"Document groups","LG38972-2","","34904-3","Mental health Progress note"
"Document groups","LG38972-2","","57143-0","Mental health Referral note"
"Document groups","LG38972-2","","75440-8","Mental health Administrative note"
"Document groups","LG38972-2","","75441-6","Mental health Diagnostic study note"
"Document groups","LG38972-2","","75442-4","Mental health Medication management note"
"Document groups","LG38972-2","","75443-2","Mental health Outpatient Note"
"Document groups","LG38972-2","","75444-0","Mental health Telephone encounter Note"
"Document groups","LG38972-2","","78246-6","Mental health Admission history and physical note"
"Document groups","LG38972-2","","78261-5","Mental health Discharge instructions"
"Document groups","LG38972-2","","78263-1","Mental health Discharge summary"
"Document groups","LG38972-2","","78266-4","Mental health Discharge teaching note"
"Document groups","LG38972-2","","78279-7","Mental health Education note"
"Document groups","LG38972-2","","78296-1","Mental health Flowsheet"
"Document groups","LG38972-2","","78305-0","Mental health Form"
"Document groups","LG38972-2","","78306-8","Mental health History and physical note"
"Document groups","LG38972-2","","78309-2","Mental health Individual counseling note"
"Document groups","LG38972-2","","78466-0","Mental health Initial evaluation note"
"Document groups","LG38972-2","","78472-8","Mental health procedure note"
"Document groups","LG38972-2","","78485-0","Mental health Restraint note"
"Document groups","LG38972-2","","78486-8","Mental health Risk assessment and screening note"
"Document groups","LG38972-2","","78488-4","Mental health Transfer summary note"
"Document groups","LG38972-2","","78504-8","Mental health Checklist"
"Document groups","LG38972-2","","78707-7","Mental health Crisis intervention note"
"Document groups","LG38972-2","","80420-3","Mental health Mandatory reporting form"
"Document groups","LG38972-2","","80742-0","Mental health Plan of care note"
"Document groups","LG38972-2","","84192-4","Mental health Admission evaluation note"
"Document groups","LG38972-2","","84193-2","Mental health Conference note"
"Document groups","LG38972-2","","84194-0","Mental health Agreement"
"Document groups","LG38972-2","","84195-7","Mental health Intensive care unit Note"
"Document groups","LG38972-2","","84196-5","Mental health Custodial care facility Note"
"Document groups","LG38972-2","","84197-3","Mental health Custodial care facility Plan of care note"
"Document groups","LG38972-2","","84198-1","Mental health Emergency department Note"
"Document groups","LG38972-2","","84199-9","Mental health Patient's home Note"
"Document groups","LG38972-2","","84200-5","Mental health Hospital Admission evaluation note"
"Document groups","LG38972-2","","84201-3","Mental health Hospital Group counseling note"
"Document groups","LG38972-2","","84202-1","Mental health Hospital Note"
"Document groups","LG38972-2","","84203-9","Mental health Hospital Plan of care note"
"Document groups","LG38972-2","","84205-4","Mental health Long term care facility Note"
"Document groups","LG38972-2","","84206-2","Mental health Observation unit Note"
"Document groups","LG38972-2","","84207-0","Mental health Outpatient Group counseling note"
"Document groups","LG38972-2","","84208-8","Mental health Outpatient Initial evaluation note"
"Document groups","LG38972-2","","84209-6","Mental health Outpatient Risk assessment and screening note"
"Document groups","LG38972-2","","84210-4","Mental health Outpatient Plan of care note"
"Document groups","LG38972-2","","84211-2","Mental health Outreach note"
"Document groups","LG38972-2","","84215-3","Mental health Telehealth Note"
"Document groups","LG38972-2","","84216-1","Mental health Transplant candidate evaluation note"
"Document groups","LG38972-2","","84218-7","Mental health Triage note"
"Document groups","LG38972-2","","87239-0","Mental health Postoperative evaluation and management note"
"Document groups","LG38972-2","","87240-8","Mental health Preoperative evaluation and management note"
