"LOINC_NUM","LOINC_LONG_COMMON_NAME","IEEE_CF_CODE10","IEEE_REFID","EQUIVALENCE"
"61005-5","Umbilical vein Systolic blood pressure","150089","MDC_PRESS_BLD_VEN_UMB_SYS","equivalent"
"61006-3","Perfusion index Tissue by Pulse oximetry","150488","MDC_BLD_PERF_INDEX","equivalent"
"61007-1","Oxygen arterial - venous [Volume Fraction Difference] in Blood arterial + Blood venous by Estimated","152844","MDC_CONC_PO2_ART_VEN_DIFF","equivalent"
"61008-9","Body surface temperature","150364","MDC_TEMP_BODY","equivalent"
"61009-7","Myocardial temperature","188500","MDC_TEMP_MYO","equivalent"
"61010-5","Burst suppression ratio [Ratio] Cerebral cortex Electroencephalogram (EEG)","155024","MDC_EEG_PAROX_CRTX_BURST_SUPPRN","equivalent"
"61011-3","Umbilical vein blood pressure","150088","MDC_PRESS_BLD_VEN_UMB","equivalent"
"61014-7","Left ventricular Cardiac output by Intermitent measure","150496","MDC_OUTPUT_CARD_NONCTS","equivalent"
"61017-0","Cerebral perfusion pressure","153604","MDC_PRESS_CEREB_PERF","equivalent"
"61018-8","Oxygen [VFr/PPres] Gas delivery system","153136","MDC_CONC_GASDLV_O2","equivalent"
"61019-6","Enflurane [VFr/PPres] Airway adaptor --during expiration","152116","MDC_CONC_AWAY_ENFL_EXP","equivalent"
"61020-4","Halothane [VFr/PPres] Airway adaptor --during expiration","152120","MDC_CONC_AWAY_HALOTH_EXP","equivalent"
"61021-2","Halothane [VFr/PPres] Airway adaptor --during inspiration","152176","MDC_CONC_AWAY_HALOTH_INSP","equivalent"
"61022-0","Desflurane gas delivered.total [Volume] in Reporting period from Gas delivery system","152908","MDC_VOL_DELIV_DESFL_TOTAL","equivalent"
"61023-8","Enflurane gas delivered.total [Volume] in Reporting period from Gas delivery system","152924","MDC_VOL_DELIV_ENFL_TOTAL","equivalent"
"61024-6","Halothane gas delivered.total [Volume] in Reporting period from Gas delivery system","152940","MDC_VOL_DELIV_HALOTH_TOTAL","equivalent"
"61025-3","Isoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system","152956","MDC_VOL_DELIV_ISOFL_TOTAL","equivalent"
"61026-1","Nitrous oxide gas delivered.total [Volume] in Reporting period from Gas delivery system","152964","MDC_VOL_DELIV_N2O_TOTAL","equivalent"
"61027-9","Sevoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system","152988","MDC_VOL_DELIV_SEVOFL_TOTAL","equivalent"
"61028-7","Pressure.min Respiratory system airway","151794","MDC_PRESS_AWAY_MIN","equivalent"
"62264-7","Carbon dioxide [VFr/PPres] in Gas delivery system","153020","MDC_CONC_GASDLV_CO2","equivalent"
"62265-4","Desflurane [VFr/PPres] Airway adaptor --during expiration","152112","MDC_CONC_AWAY_DESFL_EXP","equivalent"
"62266-2","Enflurane [VFr/PPres] Airway adaptor","152028","MDC_CONC_AWAY_ENFL","equivalent"
"62267-0","Halothane [VFr/PPres] Airway adaptor","152032","MDC_CONC_AWAY_HALOTH","equivalent"
"62268-8","Isoflurane [VFr/PPres] Airway adaptor","152040","MDC_CONC_AWAY_ISOFL","equivalent"
"62269-6","Isoflurane [VFr/PPres] Airway adaptor --during expiration","152128","MDC_CONC_AWAY_ISOFL_EXP","equivalent"
"62270-4","Isoflurane [VFr/PPres] Airway adaptor --during inspiration","152184","MDC_CONC_AWAY_ISOFL_INSP","equivalent"
"62271-2","Nitrous oxide [VFr/PPres] Airway adaptor","152048","MDC_CONC_AWAY_N2O","equivalent"
"62272-0","Nitrous oxide [VFr/PPres] Airway adaptor --during inspiration","152192","MDC_CONC_AWAY_N2O_INSP","equivalent"
"62274-6","Oxygen [VFr/PPres] Airway adaptor --during inspiration","152196","MDC_CONC_AWAY_O2_INSP","equivalent"
"6298-4","Potassium [Moles/volume] in Blood","160016","MDC_CONC_K_GEN","broader"
"6301-6","INR in Platelet poor plasma by Coagulation assay","160260","MDC_RATIO_INR_COAG","equivalent"
"65658-7","FEV1/FEV6 Predicted","33743368","MDC_RATIO_AWAY_EXP_FORCED_FEV1_FEV6_PRED","equivalent"
"65819-5","Forced expiratory time","189016","MDC_VOL_AWAY_EXP_FORCED_TIME","equivalent"
"69971-0","FEF 25-75% Predicted","33743392","MDC_FLOW_AWAY_EXP_FORCED_25_75_FVC_PRED","equivalent"
"73696-7","Oxygen saturation.preductal-oxygen saturation.postductal [Mass fraction difference] in Bld.preductal and Bld.postductal","160304","MDC_PULS_OXIM_SAT_O2_ART_PRE_POST_DIFF","equivalent"
"75915-9","Air curtain status Infant microenvironment.incubator","184339","MDC_MICROENV_AIR_CURTAIN_STATE","equivalent"
"75916-7","Bed type Infant microenvironment","184336","MDC_MICROENV_TYPE","equivalent"
"75917-5","Bed state Infant microenvironment.incubator","184338","MDC_MICROENV_BED_STATE","equivalent"
"75918-3","Bispectral index Cerebral cortex Electroencephalogram (EEG)","153644","MDC_EEG_BISPECTRAL_INDEX","equivalent"
"75919-1","Left ventricular Cardiac index","149772","MDC_OUTPUT_CARD_INDEX","equivalent"
"75920-9","Transthoracic impedance","151780","MDC_IMPED_TTHOR","equivalent"
"75921-7","Electrical potential Cerebral cortex Electroencephalogram (EEG)","153900","MDC_EEG_ELEC_POTL_CRTX","equivalent"
"75922-5","Fan speed Infant microenvironment.incubator","184341","MDC_MICROENV_FAN_SPEED","equivalent"
"75923-3","Fresh gas.air flow Gas delivery system","152876","MDC_FLOW_AIR_FG","equivalent"
"75924-1","Fresh gas.nitrous oxide flow Gas delivery system","153092","MDC_FLOW_N2O_FG","equivalent"
"75925-8","Fresh gas.oxygen flow Gas delivery system","153156","MDC_FLOW_O2_FG","equivalent"
"75926-6","Heater type Infant microenvironment","184337","MDC_MICROENV_HEATER_TYPE","equivalent"
"75927-4","Heater power Infant microenvironment","184300","MDC_MICROENV_HEATER_APPLIED_PWR","equivalent"
"75928-2","Hemoglobin [Moles/volume] in Arterial blood","159764","MDC_CONC_HB_ART","broader"
"75929-0","Relative humidity Infant microenvironment.incubator","184292","MDC_REL_HUMIDITY_MICROENV","equivalent"
"75930-8","Relative humidity setting Infant microenvironment.incubator","16961508","MDC_REL_HUMIDITY_MICROENV_SETTING","equivalent"
"75931-6","Inspiration/Expiration time Ratio","151832","MDC_RATIO_IE","equivalent"
"75932-4","Inspiratory time percent","152640","MDC_RATIO_INSP","equivalent"
"75933-2","Left atrial pressure Diastolic","150066","MDC_PRESS_BLD_ATR_LEFT_DIA","equivalent"
"75934-0","Nitrogen dioxide [VFr/PPres] Airway adaptor","152044","MDC_CONC_AWAY_NO2","equivalent"
"75935-7","Nitrogen dioxide [VFr/PPres] Airway adaptor --during expiration","152132","MDC_CONC_AWAY_NO2_EXP","equivalent"
"75936-5","Nitrogen dioxide [VFr/PPres] Airway adaptor --during inspiration","152188","MDC_CONC_AWAY_NO2_INSP","equivalent"
"75937-3","Nitrogen dioxide [VFr/PPres] Airway adaptor --at end expiration","152104","MDC_CONC_AWAY_NO2_ET","equivalent"
"75938-1","Oxygen/Gas total Infant microenvironment.incubator","184288","MDC_CONC_O2_MICROENV","equivalent"
"75939-9","Oxygen/Total gas setting Infant microenvironment.incubator","16961504","MDC_CONC_O2_MICROENV_SETTING","equivalent"
"75940-7","Potassium [Mass/volume] in Blood","160016","MDC_CONC_K_GEN","broader"
"75941-5","Total power of power spectrum on EEG","154040","MDC_EEG_PWR_SPEC_TOT","equivalent"
"75942-3","Airway pressure --during inspiration","151816","MDC_PRESS_AWAY_INSP","equivalent"
"75943-1","Airway pressure --during respiratory pause","151788","MDC_PRESS_RESP_PAUSE","equivalent"
"75944-9","Left eye Pupil reaction [Time]","153892","MDC_TIME_PD_PUPIL_REACT_LEFT","equivalent"
"75945-6","Right eye Pupil reaction [Time]","153896","MDC_TIME_PD_PUPIL_REACT_RIGHT","equivalent"
"75946-4","Airway resistance","151840","MDC_RES_AWAY","equivalent"
"75947-2","Airway resistance --during expiration","151844","MDC_RES_AWAY_EXP","equivalent"
"75948-0","Airway resistance --during inspiration","151848","MDC_RES_AWAY_INSP","equivalent"
"75949-8","Response entropy [Score] Cerebral cortex Electroencephalogram (EEG)","153648","MDC_EEG_ENTROPY_RESPONSE","equivalent"
"75950-6","Signal quality index EEG device Calculated","153636","MDC_EEG_SIGNAL_QUALITY_INDEX","equivalent"
"75951-4","Skin temperature setting Infant microenvironment","16927604","MDC_TEMP_SKIN_SETTING","equivalent"
"75952-2","SNAP index Cerebral cortex Electroencephalogram (EEG)","153656","MDC_EEG_SNAP_INDEX","equivalent"
"75953-0","Spike count Cerebral cortex Electroencephalogram (EEG)","154028","MDC_EEG_NUM_SPK","equivalent"
"75953-0","Spike count Cerebral cortex Electroencephalogram (EEG)","154977","MDC_EEG_PAROX_CRTX_SPK_CNT","equivalent"
"75954-8","State entropy [Score] Cerebral cortex Electroencephalogram (EEG)","153652","MDC_EEG_ENTROPY_STATE","equivalent"
"75955-5","Temperature Infant microenvironment.incubator","184296","MDC_TEMP_MICROENV","equivalent"
"75956-3","Temperature sensor [Resistance] Infant microenvironment","184304","MDC_MICROENV_HEATER_HEAT_SINK_RESIST","equivalent"
"75957-1","Temperature setting Infant microenvironment.incubator","16961512","MDC_TEMP_MICROENV_SETTING","equivalent"
"75958-9","Tidal volume expired Respiratory system airway","152664","MDC_VOL_AWAY_TIDAL_EXP","equivalent"
"75959-7","Volume expired per minute Respiratory system","151884","MDC_VOL_MINUTE_AWAY_EXP","equivalent"
"75960-5","Inspired minute Volume","151888","MDC_VOL_MINUTE_AWAY_INSP","equivalent"
"75961-3","Temperature control mode Infant microenvironment","184340","MDC_MICROENV_HEATER_CNTRL_MODE","equivalent"
"75984-5","Air delivered during case [Volume] from Gas delivery system","152880","MDC_VOL_DELIV_AIR_CASE","equivalent"
"75985-2","Air delivered.total [Volume] in Reporting period from Gas delivery system","152884","MDC_VOL_DELIV_AIR_TOTAL","equivalent"
"75986-0","Velocity index Aorta Non-invasive impedance cardiography (NI-ICG)","150632","MDC_VELOCITY_INDEX","equivalent"
"75987-8","Venous blood temperature","150396","MDC_TEMP_VEN","equivalent"
"75988-6","Left ventricular End diastolic volume","150528","MDC_VOL_VENT_L_END_DIA","equivalent"
"75989-4","Left ventricular End systolic volume","150532","MDC_VOL_VENT_L_END_SYS","equivalent"
"75990-2","Energy expended Reporting Period by Indirect calorimetry","152812","MDC_RESP_EXPENDED_ENERGY","equivalent"
"75991-0","Oxygen extraction ratio","152856","MDC_O2_EXTRACTION_RATIO","equivalent"
"75992-8","Transcutaneous monitor Heater power","188488","MDC_POWER_TCUT","equivalent"
"75993-6","Femoral artery Blood pressure","150648","MDC_PRESS_BLD_ART_FEMORAL","equivalent"
"75994-4","Pulmonary artery wedge pressure","150052","MDC_PRESS_BLD_ART_PULM_WEDGE","equivalent"
"75995-1","Diastolic blood pressure by Continuous non-invasive monitoring","150026","MDC_PRESS_BLD_NONINV_DIA_CTS","equivalent"
"75996-9","Mean blood pressure by Continuous non-invasive monitoring","150027","MDC_PRESS_BLD_NONINV_MEAN_CTS","equivalent"
"75997-7","Systolic blood pressure by Continuous non-invasive monitoring","150025","MDC_PRESS_BLD_NONINV_SYS_CTS","equivalent"
"75998-5","Oxygen gas delivered during case [Volume] from Gas delivery system","153148","MDC_VOL_DELIV_O2_CASE","equivalent"
"75999-3","Oxygen gas delivered.total [Volume] in Reporting period from Gas delivery system","153152","MDC_VOL_DELIV_O2_TOTAL","equivalent"
"76000-9","Paced heart rate by EKG","147626","MDC_ECG_PACED_BEAT_RATE","equivalent"
"76001-7","Physiological dead space [Volume] Respiratory system","151872","MDC_VOL_AWAY_DEADSP","equivalent"
"76002-5","Physiological dead space/Tidal volume Respiratory system","151836","MDC_RATIO_AWAY_DEADSP_TIDAL","equivalent"
"76003-3","Pressure Respiratory system airway --during inspiration on ventilator","151972","MDC_VENT_PRESS_AWAY","equivalent"
"76004-1","Airway occlusion pressure","151964","MDC_VENT_PRESS_OCCL","equivalent"
"76005-8","Transcutaneous monitor sensor temperature","188492","MDC_TEMP_TCUT","equivalent"
"76006-6","Temperature difference","188440","MDC_TEMP_DIFF","equivalent"
"76007-4","Tidal volume expired Respiratory system airway --on ventilator","151868","MDC_VOL_AWAY_TIDAL","equivalent"
"76008-2","Expired minute Volume during Mechanical ventilation","152000","MDC_VENT_VOL_MINUTE_EXP","equivalent"
"76009-0","Inspired minute Volume during Mechanical ventilation","152004","MDC_VENT_VOL_MINUTE_INSP","equivalent"
"76009-0","Inspired minute Volume during Mechanical ventilation","152016","MDC_VENT_VOL_MINUTE_AWAY_INSP","equivalent"
"76010-8","Nasal temperature","188504","MDC_TEMP_NASAL","equivalent"
"76011-6","Ear temperature","188428","MDC_TEMP_EAR","equivalent"
"76012-4","Desflurane liquid delivered during case [Volume] from Gas delivery system","152900","MDC_VOL_DELIV_DESFL_LIQUID_CASE","equivalent"
"76013-2","Desflurane liquid delivered.total [Volume] in Reporting period from Gas delivery system","152904","MDC_VOL_DELIV_DESFL_LIQUID_TOTAL","equivalent"
"76014-0","Enflurane liquid delivered during case [Volume] from Gas delivery system","152916","MDC_VOL_DELIV_ENFL_LIQUID_CASE","equivalent"
"76015-7","Enflurane liquid delivered.total [Volume] in Reporting period from Gas delivery system","152920","MDC_VOL_DELIV_ENFL_LIQUID_TOTAL","equivalent"
"76016-5","Halothane liquid delivered during case [Volume] from Gas delivery system","152932","MDC_VOL_DELIV_HALOTH_LIQUID_CASE","equivalent"
"76017-3","Halothane liquid delivered.total [Volume] in Reporting period from Gas delivery system","152936","MDC_VOL_DELIV_HALOTH_LIQUID_TOTAL","equivalent"
"76018-1","Sevoflurane liquid delivered during case [Volume] from Gas delivery system","152980","MDC_VOL_DELIV_SEVOFL_LIQUID_CASE","equivalent"
"76019-9","Sevoflurane liquid delivered.total [Volume] in Reporting period from Gas delivery system","152984","MDC_VOL_DELIV_SEVOFL_LIQUID_TOTAL","equivalent"
"76047-0","ST amplitude.lead V1","131843","MDC_ECG_AMPL_ST_V1","equivalent"
"76048-8","ST amplitude.lead V2","131844","MDC_ECG_AMPL_ST_V2","equivalent"
"76049-6","ST amplitude.lead V3","131845","MDC_ECG_AMPL_ST_V3","equivalent"
"76050-4","ST amplitude.lead V4","131846","MDC_ECG_AMPL_ST_V4","equivalent"
"76051-2","ST amplitude.lead V5","131847","MDC_ECG_AMPL_ST_V5","equivalent"
"76052-0","ST amplitude.lead V6","131848","MDC_ECG_AMPL_ST_V6","equivalent"
"76053-8","ST amplitude.lead I","131841","MDC_ECG_AMPL_ST_I","equivalent"
"76054-6","ST amplitude.lead II","131842","MDC_ECG_AMPL_ST_II","equivalent"
"76055-3","ST amplitude.lead III","131901","MDC_ECG_AMPL_ST_III","equivalent"
"76056-1","ST amplitude.lead aVF","131904","MDC_ECG_AMPL_ST_AVF","equivalent"
"76057-9","ST amplitude.lead aVL","131903","MDC_ECG_AMPL_ST_AVL","equivalent"
"76058-7","ST amplitude.lead aVR","131902","MDC_ECG_AMPL_ST_AVR","equivalent"
"76059-5","Anesthetic agent.XXX Airway adaptor","152456","MDC_CONC_AWAY_AGENT","equivalent"
"76092-6","Maximum gradient during systole [Pressure] Aortic valve","150565","MDC_GRAD_PRESS_BLD_AORT_POS_MAX","equivalent"
"76093-4","Nitric oxide [VFr/PPres] Airway adaptor","153096","MDC_CONC_AWAY_NO","equivalent"
"76094-2","Xenon [VFr/PPres] Airway adaptor","153172","MDC_CONC_AWAY_XE","equivalent"
"76095-9","Carbon dioxide [VFr/PPres] in Gas delivery system.expiratory limb --during expiration","153024","MDC_CONC_GASDLV_CO2_EXP","equivalent"
"76096-7","Carbon dioxide [VFr/PPres] in Gas delivery system.inspiratory limb --during inspiration","153028","MDC_CONC_GASDLV_CO2_INSP","equivalent"
"76097-5","Helium [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153060","MDC_CONC_GASDLV_HE_EXP","equivalent"
"76098-3","Helium [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153064","MDC_CONC_GASDLV_HE_INSP","equivalent"
"76099-1","Nitric oxide [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153116","MDC_CONC_GASDLV_NO_EXP","equivalent"
"76100-7","Nitric oxide [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153120","MDC_CONC_GASDLV_NO_INSP","equivalent"
"76101-5","Nitrogen dioxide [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152160","MDC_CONC_GASDLV_NO2_EXP","equivalent"
"76102-3","Nitrogen dioxide [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","152220","MDC_CONC_GASDLV_NO2_INSP","equivalent"
"76103-1","Nitrogen [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153084","MDC_CONC_GASDLV_N2_EXP","equivalent"
"76104-9","Nitrogen [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153088","MDC_CONC_GASDLV_N2_INSP","equivalent"
"76105-6","Oxygen [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153140","MDC_CONC_GASDLV_O2_EXP","equivalent"
"76106-4","Oxygen [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153144","MDC_CONC_GASDLV_O2_INSP","equivalent"
"76107-2","Sevoflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration","152152","MDC_CONC_GASDLV_SEVOFL_EXP","equivalent"
"76108-0","Xenon [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153192","MDC_CONC_GASDLV_XE_EXP","equivalent"
"76109-8","Xenon [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153196","MDC_CONC_GASDLV_XE_INSP","equivalent"
"76110-6","Helium [VFr/PPres] Gas delivery system","153056","MDC_CONC_GASDLV_HE","equivalent"
"76111-4","Nitric oxide [VFr/PPres] Gas delivery system","153112","MDC_CONC_GASDLV_NO","equivalent"
"76112-2","Nitrogen [VFr/PPres] Gas delivery system","153080","MDC_CONC_GASDLV_N2","equivalent"
"76113-0","Nitrogen dioxide [VFr/PPres] Gas delivery system","152072","MDC_CONC_GASDLV_NO2","equivalent"
"76114-8","Xenon [VFr/PPres] Gas delivery system","153188","MDC_CONC_GASDLV_XE","equivalent"
"76115-5","Nitric oxide [VFr/PPres] Airway adaptor --at end expiration","153100","MDC_CONC_AWAY_NO_ET","equivalent"
"76116-3","Xenon [VFr/PPres] Airway adaptor --at end expiration","153176","MDC_CONC_AWAY_XE_ET","equivalent"
"76117-1","Nitric oxide [VFr/PPres] Airway adaptor --during expiration","153104","MDC_CONC_AWAY_NO_EXP","equivalent"
"76118-9","Xenon [VFr/PPres] Airway adaptor --during expiration","153180","MDC_CONC_AWAY_XE_EXP","equivalent"
"76119-7","Helium gas delivered during case [Volume] from Gas delivery system","153068","MDC_VOL_DELIV_HE_CASE","equivalent"
"76120-5","Nitric oxide [VFr/PPres] Airway adaptor --during inspiration","153108","MDC_CONC_AWAY_NO_INSP","equivalent"
"76121-3","Xenon [VFr/PPres] Airway adaptor --during inspiration","153184","MDC_CONC_AWAY_XE_INSP","equivalent"
"76122-1","Helium gas delivered.total [Volume] in Reporting period from Gas delivery system","153072","MDC_VOL_DELIV_HE_TOTAL","equivalent"
"76123-9","Nitric oxide gas delivered.total [Volume] in Reporting period from Gas delivery system","153128","MDC_VOL_DELIV_NO_TOTAL","equivalent"
"76124-7","Xenon gas delivered during case [Volume] from Gas delivery system","153200","MDC_VOL_DELIV_XE_CASE","equivalent"
"76125-4","Xenon gas delivered.total [Volume] in Reporting period from Gas delivery system","153204","MDC_VOL_DELIV_XE_TOTAL","equivalent"
"76126-2","Premature ventricular contractions [#]","148065","MDC_ECG_V_P_C_CNT","equivalent"
"76127-0","Argon [VFr/PPres] Gas delivery system","153008","MDC_CONC_GASDLV_AR","equivalent"
"76128-8","Argon [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration","153016","MDC_CONC_GASDLV_AR_INSP","equivalent"
"76129-6","Argon [VFr/PPres] Gas delivery system.expiratory limb --during expiration","153012","MDC_CONC_GASDLV_AR_EXP","equivalent"
"76130-4","Isoflurane liquid delivered during case [Volume] from Gas delivery system","152948","MDC_VOL_DELIV_ISOFL_LIQUID_CASE","equivalent"
"76131-2","Isoflurane liquid delivered.total [Volume] in Reporting period from Gas delivery system","152952","MDC_VOL_DELIV_ISOFL_LIQUID_TOTAL","equivalent"
"76151-0","Airway pressure backup setting Ventilator","16929940","MDC_VENT_PRESS_AWAY_BACKUP_SETTING","equivalent"
"76152-8","Airway pressure delta setting Ventilator","16929936","MDC_VENT_PRESS_AWAY_DELTA_SETTING","equivalent"
"76154-4","Airway pressure delta --on ventilator","152720","MDC_VENT_PRESS_AWAY_DELTA","equivalent"
"76164-3","Pressure Respiratory system airway --on ventilator","151956","MDC_VENT_PRESS","equivalent"
"76165-0","Alveolar ventilation [Volume] Respiratory system --on ventilator","152436","MDC_VENT_VOL_LUNG_ALV","equivalent"
"76166-8","Apnea duration setting Ventilator alarm","16929072","MDC_TIME_PD_APNEA_SETTING","equivalent"
"76168-4","Pressure.baseline setting Ventilator","16929932","MDC_VENT_PRESS_AWAY_BASELINE_SETTING","equivalent"
"76169-2","Pressure.baseline Respiratory system airway --on ventilator","152716","MDC_VENT_PRESS_AWAY_BASELINE","equivalent"
"76170-0","Respiratory rate by Acoustic measurement","151650","MDC_ACOUSTIC_RESP_RATE","equivalent"
"76171-8","Respiratory rate by Airway flow measurement","151570","MDC_AWAY_RESP_RATE","equivalent"
"76172-6","Respiratory rate by Carbon dioxide measurement","151594","MDC_CO2_RESP_RATE","equivalent"
"76173-4","Respiratory rate by Non-airway pressure measurement","151602","MDC_PRESS_RESP_RATE","equivalent"
"76174-2","Respiratory rate by Pulse oximetry.plethysmograph","151658","MDC_PULS_OXIM_PLETH_RESP_RATE","equivalent"
"76184-1","Carbon dioxide [Partial pressure] in Pulmonary artery","152848","MDC_CONC_PCO2_ART_PULM","equivalent"
"76185-8","Central apnea duration Respiratory system","151860","MDC_TIME_PD_APNEA_CENT","equivalent"
"76186-6","Expiratory hold time Ventilator","152636","MDC_VENT_TIME_PD_EXP_HOLD","equivalent"
"76187-4","Expiratory hold time setting Ventilator","16929852","MDC_VENT_TIME_PD_EXP_HOLD_SETTING","equivalent"
"76188-2","Expiratory pause time Ventilator","151684","MDC_VENT_TIME_PD_EXP_PAUSE","equivalent"
"76190-8","High pressure hold time setting Ventilator","16929860","MDC_VENT_TIME_PD_INSP_THIGH_SETTING","equivalent"
"76191-6","High pressure hold time Ventilator","152644","MDC_VENT_TIME_PD_INSP_THIGH","equivalent"
"76194-0","Inflation trigger flow Ventilator","152804","MDC_VENT_FLOW_TRIG_SENS","equivalent"
"76197-3","Multiple sigh breaths delivered 1 minute Ventilator","151642","MDC_VENT_SIGH_MULT_RATE","equivalent"
"76198-1","Breaths.sigh delivered 1 minute Ventilator","151634","MDC_VENT_SIGH_RATE","equivalent"
"76203-9","Pressure.occlusion Respiratory system airway --negative inspiratory force maneuver","152784","MDC_VENT_PRESS_OCCL_NIF","equivalent"
"76206-2","Pressure.min Respiratory system airway --on ventilator","151974","MDC_VENT_PRESS_AWAY_MIN","equivalent"
"76210-4","Inspiratory hold time setting Ventilator","16929848","MDC_VENT_TIME_PD_INSP_HOLD_SETTING","equivalent"
"76211-2","Inspiratory hold time Ventilator","152632","MDC_VENT_TIME_PD_INSP_HOLD","equivalent"
"76212-0","Invasive Blood pressure","150016","MDC_PRESS_BLD","equivalent"
"76212-0","Invasive Blood pressure","150032","MDC_PRESS_BLD_ART","equivalent"
"76212-0","Invasive Blood pressure","150036","MDC_PRESS_BLD_ART_ABP","equivalent"
"76213-8","Invasive Diastolic blood pressure","150018","MDC_PRESS_BLD_DIA","equivalent"
"76213-8","Invasive Diastolic blood pressure","150034","MDC_PRESS_BLD_ART_DIA","equivalent"
"76213-8","Invasive Diastolic blood pressure","150038","MDC_PRESS_BLD_ART_ABP_DIA","equivalent"
"76214-6","Invasive Mean blood pressure","150019","MDC_PRESS_BLD_MEAN","equivalent"
"76214-6","Invasive Mean blood pressure","150035","MDC_PRESS_BLD_ART_MEAN","equivalent"
"76214-6","Invasive Mean blood pressure","150039","MDC_PRESS_BLD_ART_ABP_MEAN","equivalent"
"76215-3","Invasive Systolic blood pressure","150017","MDC_PRESS_BLD_SYS","equivalent"
"76215-3","Invasive Systolic blood pressure","150033","MDC_PRESS_BLD_ART_SYS","equivalent"
"76215-3","Invasive Systolic blood pressure","150037","MDC_PRESS_BLD_ART_ABP_SYS","equivalent"
"76221-1","Tidal volume.inspired","152660","MDC_VOL_AWAY_TIDAL_INSP","equivalent"
"76222-9","Tidal volume Ventilator --on ventilator","151980","MDC_VENT_VOL_TIDAL","equivalent"
"76223-7","Inflation trigger pressure Ventilator","152428","MDC_VENT_PRESS_TRIG_SENS","equivalent"
"76224-5","Inflation trigger pressure setting Ventilator","16929644","MDC_VENT_PRESS_TRIG_SENS_SETTING","equivalent"
"76226-0","Inspiratory pause time setting Ventilator","16929840","MDC_VENT_TIME_PD_INSP_PAUSE_SETTING","equivalent"
"76227-8","Inspiratory pause time Ventilator","152624","MDC_VENT_TIME_PD_INSP_PAUSE","equivalent"
"76228-6","Low pressure hold time Ventilator","152648","MDC_VENT_TIME_PD_EXP_TLOW","equivalent"
"76229-4","Low pressure hold time setting Ventilator","16929864","MDC_VENT_TIME_PD_EXP_TLOW_SETTING","equivalent"
"76239-3","Mixed apnea duration Respiratory system","151864","MDC_TIME_PD_APNEA_MIX","equivalent"
"76240-1","Pressure.occlusion 100ms Respiratory system airway","152780","MDC_VENT_PRESS_OCCL_P100MS","equivalent"
"76241-9","Nitric oxide gas delivered.case [Volume] from Gas delivery system","153124","MDC_VOL_DELIV_NO_CASE","equivalent"
"76242-7","Obstructive apnea duration Respiratory system","151852","MDC_TIME_PD_APNEA_OBSTRUC","equivalent"
"76243-5","Inspiratory oxygen - expiratory oxygen [Pressure Difference] Airway adaptor","151744","MDC_CONC_AWAY_O2_DELTA","equivalent"
"76244-3","Positive pressure phase duration [Time] Ventilator","152416","MDC_VENT_TIME_PD_INSP","narrower"
"76246-8","Intrinsic dynamic PEEP Respiratory system","152796","MDC_PRESS_AWAY_END_EXP_POS_INTRINSIC_DYNAMIC","equivalent"
"76248-4","PEEP Respiratory system --on ventilator","151976","MDC_VENT_PRESS_AWAY_END_EXP_POS","equivalent"
"76249-2","Maximum expiratory pressure Respiratory system airway","151813","MDC_PRESS_AWAY_EXP_MAX","equivalent"
"76250-0","Minimum expiratory pressure Respiratory system airway","151814","MDC_PRESS_AWAY_EXP_MIN","equivalent"
"76251-8","Minimum inspiratory pressure Respiratory system airway","151818","MDC_PRESS_AWAY_INSP_MIN","equivalent"
"76252-6","Pressure Pleural space","151824","MDC_PRESS_INTRAPL","equivalent"
"76253-4","Nitrous oxide cylinder Pressure","152972","MDC_PRESS_N2O_CYL","equivalent"
"76254-2","Nitrous oxide pipeline Pressure","152968","MDC_PRESS_N2O_SUPPLY","equivalent"
"76255-9","Oxygen cylinder Pressure","153164","MDC_PRESS_O2_CYL","equivalent"
"76255-9","Oxygen cylinder Pressure","153168","MDC_PRESS_O2_CYL_2","equivalent"
"76256-7","Oxygen pipeline Pressure","153160","MDC_PRESS_O2_SUPPLY","equivalent"
"76257-5","Air cylinder Pressure","152892","MDC_PRESS_AIR_CYL","equivalent"
"76258-3","Air pipeline Pressure","152888","MDC_PRESS_AIR_SUPPLY","equivalent"
"76259-1","Pressure.plateau Respiratory system airway --on ventilator","152424","MDC_VENT_PRESS_RESP_PLAT","equivalent"
"76260-9","Expiratory pressure Respiratory system airway","151812","MDC_PRESS_AWAY_EXP","equivalent"
"76264-1","Inspiratory gas flow Respiratory system airway","151772","MDC_FLOW_AWAY_INSP","equivalent"
